Bezirk,Ortsteil,Straße,Str. Anfang,Str. Ende,Ortsbeschreibung,Stadt,lat,lon
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Bus,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Lichtenberg,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,geg. Fußgängertunnel,Berlin,0.0,0.0
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Lichtenberg,Rummelsburg,Glasbläserallee,Glasbläserallee,Paul-und-Paula-Ufer,o. Nr.,Berlin,52.5001736,13.4691698
Lichtenberg,Friedrichsfelde,Am Kraatz-Tränke-Graben (Fuß-/Radweg neben Nr. 39),Dolgenseestr.,Zobtener Str.,o.Nr.,Berlin,52.4941805,13.496039
Lichtenberg,Friedrichsfelde,Am Kraatz-Tränke-Graben (Fuß-/Radweg neben Nr. 39),Dolgenseestr.,Zobtener Str.,o.Nr.,Berlin,52.4941805,13.496039
Lichtenberg,Friedrichsfelde,Am Kraatz-Tränke-Graben (Fuß-/Radweg neben Nr. 39),Dolgenseestr.,Zobtener Str.,o.Nr.,Berlin,52.4941805,13.496039
Lichtenberg,Friedrichsfelde,Zum Betriebsbahnhof (Fuß-/Radweg neben Nr. 102),Salzmannstr.,Zobtener Str.,o.Nr.,Berlin,52.4941805,13.496039
Lichtenberg,Friedrichsfelde,Am Kraatz-Tränke-Graben (Fuß-/Radweg neben Nr. 39),Dolgenseestr.,Dolgenseestr.,o.Nr.,Berlin,52.4941805,13.496039
Marzahn-Hellersdorf,Marzahn,Zur Schönagelstr.,Landsberger Allee,Schönagelstr.,E   Landsberger Allee,Berlin,52.5460734,13.5659954
Marzahn-Hellersdorf,Hellersdorf,Grottkauer Brücke,Nicht zugeordnet,Nicht zugeordnet,o.Nr.,Berlin,52.5291512,13.5908878
Marzahn-Hellersdorf,Hellersdorf,Grottkauer Brücke,Nicht zugeordnet,Hellersdorfer Str.,Eingang U-Bahnhof,Berlin,52.5291512,13.5908878
Marzahn-Hellersdorf,Hellersdorf,Grottkauer Brücke,Nicht zugeordnet,Hellersdorfer Str.,o. Nr. / E. Hellersdorfer Str.,Berlin,52.5291512,13.5908878
Marzahn-Hellersdorf,Hellersdorf,Grottkauer Brücke,Nicht zugeordnet,Nicht zugeordnet,o.Nr.,Berlin,52.5291512,13.5908878
Marzahn-Hellersdorf,Hellersdorf,Grottkauer Brücke,Nicht zugeordnet,Nicht zugeordnet,o. Nr. (am U-Bahneingang),Berlin,52.5291512,13.5908878
Marzahn-Hellersdorf,Hellersdorf,Grottkauer Brücke,Hellersdorfer Str.,Nicht zugeordnet,o.Nr.,Berlin,52.5291512,13.5908878
Neukölln,Neukölln,,Karlsgartenstr.,Hasenheide,Nr. 6,Berlin,52.4821359,13.4209234
Neukölln,Neukölln,,Hasenheide,Karlsgartenstr.,geg. Nr. 11,Berlin,52.4821359,13.4209234
Neukölln,Neukölln,,Hasenheide,Karlsgartenstr.,Nr. 48,Berlin,52.4821359,13.4209234
Treptow-Köpenick,Friedrichshagen,Spreepromenade,Sternallee,Ahornweg,Nr. 12 E. Ahornweg,Berlin,52.4520095,13.5952728
Treptow-Köpenick,Friedrichshagen,Spreepromenade,Sternallee,Ahornweg,Nr. 20 E. Sternallee,Berlin,52.4520095,13.5952728
Steglitz-Zehlendorf,Dahlem,Königin-Luise Brücke,Archivstr.,Königin-Luise-Str.,Brücke Parkbänke,Berlin,52.4580467,13.2889637
Steglitz-Zehlendorf,Dahlem,Clayalleebrücke,Clayallee,Clayallee,Nr. 223,Berlin,52.4506691,13.2695326
Steglitz-Zehlendorf,Dahlem,Clayalleebrücke,Clayallee,Clayallee,o. Nr.,Berlin,52.4506691,13.2695326
Steglitz-Zehlendorf,Dahlem,Clayalleebrücke,Clayallee,Clayallee,o. Nr.,Berlin,52.4506691,13.2695326
Steglitz-Zehlendorf,Steglitz,Menzelstr.,Beckerstr.,Thorwaldsenstr.,Nr. 17,Berlin,52.4623214,13.341443
Steglitz-Zehlendorf,Steglitz,Menzelstr.,Beckerstr.,Thorwaldsenstr.,Ecke Thorwaldsenstr.,Berlin,52.4623214,13.341443
Neukölln,Neukölln,Gottlieb-Dunkel-Str.,Hattenheimer Str.,Eschersheimer Str.,E. Hattenheimer Str.,Berlin,52.4581998,13.4117075
Tempelhof-Schöneberg,Mariendorf,Am Heidefriedhof,Reißeckstr.,Alt-Mariendorf,o. Nr.,Berlin,52.4403323,13.3897539
Tempelhof-Schöneberg,Mariendorf,Am Hellespont,Am Hellespont,Dardanellenweg,o. Nr.,Berlin,52.4448632,13.4066797
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Brussaer Weg,Grüntenstr.,Nr. 90-94,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Goldenes Horn,Britzer Str.,E. Goldes Horn,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Grüntenstr.,Brussaer Weg,E. Grüntenstr.,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Goldenes Horn,Britzer Str.,geg. Nr. 44,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Britzer Str.,Rotkopfweg,Nr. 11,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Reißeckstr.,Grüntenstr.,geg. Rixdorfer,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Britzer Str.,Rotkopfweg,Goldenes Horn,Nr. 8-20,Berlin,52.439751,13.3993044
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Marmaraweg,Rixdorfer Str.,geg. Nr. 6,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Rixdorfer Str.,Marmaraweg,E. Marmaraweg (Laterne),Berlin,52.4444872,13.4036897
